Data;Casi per settimana
10 - 16 mar;4
17 - 23 mar;14
24 - 30 mar;24
31 mar - 6 apr;16
7 - 13 apr;8
14 - 20 apr;3
21 - 27 apr;2
28 apr - 4 mag;2
5 - 11 mag;1
12 - 18 mag;5
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;2
16 - 22 giu;1
23 - 29 giu;0
30 giu - 6 lug;2
7 - 13 lug;0
14 - 20 lug;1
21 - 27 lug;1
28 lug - 3 ago;3
4 - 10 ago;0
11 - 17 ago;1
18 - 24 ago;0
25 - 31 ago;4
1 - 7 set;0
8 - 14 set;4
15 - 21 set;8
22 - 28 set;10
29 set - 5 ott;11
6 - 12 ott;1
13 - 19 ott;8
20 - 26 ott;22
27 ott - 2 nov;47
3 - 9 nov;82
10 - 16 nov;158
17 - 23 nov;425
24 - 30 nov;73
1 - 7 dic;122
8 - 14 dic;73
15 - 21 dic;97
22 - 28 dic;329
29 dic - 4 gen;402
5 -11 gen;368
12 - 18 gen;164
19 - 25 gen;126
26 gen - 1 feb;203
2 - 8 feb;163
9 - 15 feb;172
16 - 22 feb;229
23 feb - 1 mar;194
2 - 8 mar;111
9 - 15 mar;241
16 - 22 mar;175
23 - 29 mar;163
30 mar - 5 apr;122
6 - 12 apr;176
13 - 19 apr;108
20 - 26 apr;186
27 apr - 3 mag;162
4 - 10 mag;126
11 - 17 mag;91
18 - 24 mag;81
25 - 31 mag;71
1 - 7 giu;73