Data;Italia;Calabria
08/04/21;43;48
09/04/21;42;49
10/04/21;42;50
11/04/21;41;50
12/04/21;41;50
13/04/21;41;50
14/04/21;40;49
15/04/21;39;49
16/04/21;38;50
17/04/21;37;48
18/04/21;36;48
19/04/21;36;50
20/04/21;36;50
21/04/21;35;49
22/04/21;34;48
23/04/21;33;48
24/04/21;32;48
25/04/21;32;49
26/04/21;32;50
27/04/21;32;49
28/04/21;31;49
29/04/21;30;49
30/04/21;30;49
01/05/21;29;45
02/05/21;29;44
03/05/21;29;45
04/05/21;29;44
05/05/21;28;44
06/05/21;27;43
07/05/21;26;43
08/05/21;25;41
09/05/21;25;42
10/05/21;25;42
11/05/21;24;42
12/05/21;23;41
13/05/21;22;40
14/05/21;21;39
15/05/21;20;39
16/05/21;20;37
17/05/21;19;37
18/05/21;19;36
19/05/21;18;35
20/05/21;17;33
21/05/21;16;33
22/05/21;15;30
23/05/21;15;29
24/05/21;15;29
25/05/21;14;29
26/05/21;13;28
27/05/21;13;29
28/05/21;12;27
29/05/21;11;26
30/05/21;11;26
31/05/21;11;25
01/06/21;10;25
02/06/21;10;24
03/06/21;10;24
04/06/21;9;23
05/06/21;9;22
06/06/21;8;21
07/06/21;8;20
08/06/21;8;20
09/06/21;7;19
10/06/21;7;18
11/06/21;7;17
12/06/21;6;16
13/06/21;6;16
14/06/21;6;16
15/06/21;6;16
16/06/21;5;15
17/06/21;5;13
18/06/21;5;12
19/06/21;4;11
20/06/21;4;10
21/06/21;4;10
22/06/21;4;9
23/06/21;4;9
24/06/21;4;9
25/06/21;3;8
26/06/21;3;7
27/06/21;3;7
28/06/21;3;7
29/06/21;3;8
30/06/21;3;8
01/07/21;3;7
02/07/21;3;6
03/07/21;2;6
04/07/21;2;6
05/07/21;2;6
06/07/21;2;6
07/07/21;2;7
08/07/21;2;6
09/07/21;2;6
10/07/21;2;6
11/07/21;2;6
12/07/21;2;6
13/07/21;2;6
14/07/21;2;6
15/07/21;2;6
16/07/21;2;6
17/07/21;2;6
18/07/21;2;6
19/07/21;2;6
20/07/21;2;6
21/07/21;2;6
22/07/21;2;6
23/07/21;2;6
24/07/21;2;6
25/07/21;3;6
26/07/21;3;6
27/07/21;3;7
28/07/21;3;8
29/07/21;3;8
30/07/21;3;8
31/07/21;3;8
01/08/21;4;9
02/08/21;4;9
03/08/21;4;9
04/08/21;4;10
05/08/21;4;10
06/08/21;4;10
07/08/21;5;10
08/08/21;5;11
09/08/21;5;11
10/08/21;5;11
11/08/21;5;13
12/08/21;5;12
13/08/21;5;13
14/08/21;6;13
15/08/21;6;13
16/08/21;6;14
17/08/21;6;14
18/08/21;6;15
19/08/21;6;16
20/08/21;7;16
21/08/21;7;15
22/08/21;7;14
23/08/21;7;14
24/08/21;7;15
25/08/21;7;15
26/08/21;7;15
27/08/21;7;15
28/08/21;7;16
29/08/21;7;16
30/08/21;7;17
31/08/21;7;17
01/09/21;7;17
02/09/21;7;18
03/09/21;8;18
04/09/21;7;18
05/09/21;7;18
06/09/21;7;19
07/09/21;7;19
08/09/21;7;19
09/09/21;7;18
10/09/21;7;17
11/09/21;7;17
12/09/21;7;16
13/09/21;7;17
14/09/21;7;17
15/09/21;7;18
16/09/21;7;18
17/09/21;7;18
18/09/21;7;17
19/09/21;7;17
20/09/21;7;18
21/09/21;7;18
22/09/21;7;18
23/09/21;6;17
24/09/21;6;16
25/09/21;6;17
26/09/21;6;16
27/09/21;6;16
28/09/21;6;17
29/09/21;6;16
30/09/21;6;15